,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,4.3
10,$r1,255.95
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,38
15,$r1,1.805
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,46
20,$r1,36.95
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,36
24,$v1,900
25,$v4,446.2
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1500
30,$v3,50
31,$v4,111.2
32,$r1,832.8
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1600
37,$v4,492.6
38,$r1,0.595
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,73.9
42,$v2,0.62
43,$r1,99.1
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
