,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,3.4
10,$r1,272
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,38
15,,
16,Formelfrage,Wasserkocher d)
17,,
18,Formelfrage,Wasserkocher e)
19,,
20,Formelfrage,Wasserkocher f)
21,,
22,Formelfrage,Wasserkocher g)
23,,
24,Formelfrage,Wasserkocher h)
25,,
26,Single Choice,Wasserkocher i)
27,bleibt gleich,0
28,wird größer,0
29,verringert sich,0
30,,
31,Single Choice,Wasserkocher j)
32,verringert sich,0
33,wird größer,0
34,bleibt gleich,0
35,,
