,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,6.4
10,$r1,175.82
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,38
15,$r1,2.06
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,48
20,$r1,12.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,700
25,$v4,289.4
26,$r1,5.613
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,38
31,$v4,288.9
32,$r1,702.499
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,600
37,$v4,465.7
38,$r1,3.13
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,72.6
42,$v2,0.76
43,$r1,90.447
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
