,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,5.7
10,$r1,203.57
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,24
15,$r1,0.3
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,60
20,$r1,18.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,600
25,$v4,177
26,$r1,6.92
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,60
31,$v4,567.5
32,$r1,4271
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,26
36,$v1,1500
37,$v4,410.4
38,$r1,1.647
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,92.6
42,$v2,1.93
43,$r1,95.2
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
