,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.8
9,$v4,6.8
10,$r1,211
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,40
15,$r1,1.45
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,38
20,$r1,23.684
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,33
24,$v1,300
25,$v4,297.7
26,$r1,0.25
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,42
31,$v4,522.6
32,$r1,442.648
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1600
37,$v4,411.2
38,$r1,0.671
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,112
42,$v2,1.09
43,$r1,90.682
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
