,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,5.4
10,$r1,302.4
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,30
15,$r1,0.5625
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,28
20,$r1,25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,58
24,$v1,700
25,$v4,339.1
26,$r1,0.0987
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,60
31,$v4,327.9
32,$r1,5489.4785
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1300
37,$v4,437.4
38,$r1,0.4714
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,134.2
42,$v2,1.11
43,$r1,89
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
