,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,1
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,6.1
10,$r1,167.58
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,50
15,$r1,2.77
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,48
20,$r1,27.08
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,1000
25,$v4,247.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1800
29,$v3,30
30,$v4,389.6
31,$r1,900
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,42
35,$v1,1100
36,$v4,224.2
37,$r1,7867.86
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,93.2
41,$v2,1.04
42,$r1,91.8
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
