,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,7.6
10,$r1,193.88
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,58
15,$r1,4.205
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,32
20,$r1,25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,400
25,$v4,101.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1800
29,$v3,36
30,$v4,512.3
31,$r1,1156.35
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,44
35,$v1,1000
36,$v4,600
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,141
40,$v2,0.53
41,$r1,79
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
