,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,7.8
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1200
13,$v2,36
14,$r1,1.08
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1400
18,$v2,36
19,$r1,38.88
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,59
23,$v1,600
24,$v4,432
25,$r1,8.057
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,600
29,$v3,38
30,$v4,431.2
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,28
34,$v1,1400
35,$v4,567.5
36,,
37,Formelfrage,Wasserkocher h)
38,,
39,Single Choice,Wasserkocher i)
40,bleibt gleich,0
41,wird größer,0
42,verringert sich,0
43,,
44,Single Choice,Wasserkocher j)
45,verringert sich,0
46,wird größer,0
47,bleibt gleich,0
48,,
