,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,5.2
10,$r1,265.3061
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,58
15,$r1,3.7378
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,44
20,$r1,11.3636
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,1000
25,$v4,243.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1900
29,$v3,34
30,$v4,377
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,24
34,$v1,1600
35,$v4,139.8
36,$r1,1.2427
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,72.9
40,$v2,0.69
41,$r1,89.4348
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
