,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,3.1
10,$r1,123.0159
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,36
15,$r1,0.864
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,60
20,$r1,15
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,47
24,$v1,1100
25,$v4,128.3
26,$r1,1.02971
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,40
31,$v4,431.5
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,54
35,$v1,1800
36,$v4,216.5
37,$r1,0.481
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,60.8
41,$v2,0.89
42,$r1,68.31
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
