,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,7.1
10,$r1,280
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,46
15,$r1,1.51
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,48
20,$r1,37.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,29
24,$v1,700
25,$v4,249.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,700
29,$v3,56
30,$v4,441.3
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,60
34,$v1,1200
35,$v4,217.9
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,81.9
39,$v2,0.79
40,$r1,90.6
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
