,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,3.7
10,$r1,82.589
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,36
15,$r1,0.926
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,32
20,$r1,21.875
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,24
24,$v1,1000
25,$v4,346.5
26,$r1,389.85
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,58
31,$v4,508.5
32,$r1,633.02
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,600
37,$v4,187.7
38,$r1,0.00187
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,57.6
42,$v2,1.75
43,$r1,96.8
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
