,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,6.3
10,$r1,225
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,48
15,$r1,1.44
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,38
20,$r1,47.37
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,800
25,$v4,386.1
26,$r1,3000
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,30
31,$v4,400.6
32,$r1,888.11
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,44
36,$v1,900
37,$v4,124.4
38,$r1,0.104
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,119.7
42,$v2,0.58
43,$r1,79.36
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
