,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,3
10,$r1,97.4
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,56
15,$r1,3.92
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,60
20,$r1,11.67
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,49
24,$v1,1000
25,$v4,127.6
26,$r1,0.05
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,2000
30,$v3,42
31,$v4,320.2
32,$r1,1452.15
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1400
37,$v4,248.6
38,$r1,0.55
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,60.6
42,$v2,1.97
43,$r1,96.73
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
