,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,5
10,$r1,255.1
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,34
15,$r1,1.05
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,40
20,$r1,22.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,38
24,$v1,1000
25,$v4,300.5
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1500
29,$v3,54
30,$v4,241.1
31,$r1,1130.48
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,60
35,$v1,1900
36,$v4,289.8
37,$r1,0.5789
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,59.3
41,$v2,1.44
42,$r1,95.9
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
