,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,4.2
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1200
13,$v2,42
14,$r1,1.47
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1100
18,$v2,30
19,$r1,36.66
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,55
23,$v1,800
24,$v4,475.1
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,600
28,$v3,48
29,$v4,417.5
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,56
33,$v1,1400
34,$v4,153.2
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,111.2
38,$v2,1.63
39,$r1,93.17
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
