,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,7.5
10,$r1,243.506
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,36
15,$r1,0.6145
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,28
20,$r1,21.428
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,600
25,$v4,161.5
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,500
29,$v3,56
30,$v4,169
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,56
34,$v1,800
35,$v4,538.6
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,88.1
39,$v2,1.58
40,$r1,94.42
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
