,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,6.6
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,800
13,$v2,38
14,$r1,1.805
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1600
18,$v2,58
19,$r1,27.58
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,32
23,$v1,900
24,$v4,239.6
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,1700
28,$v3,28
29,$v4,189.5
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,26
33,$v1,700
34,$v4,324.6
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,149.3
38,$v2,1.52
39,$r1,90.17
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
