,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,5.2
10,$r1,168.831
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,52
15,$r1,1.69
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,48
20,$r1,31.25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,900
25,$v4,307
26,$r1,0.382476773
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,38
31,$v4,102.2
32,$r1,362.3718253
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1100
37,$v4,443.3
38,$r1,0.171046
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,116.2
42,$v2,0.77
43,$r1,86.8878357
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
