,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,3.1
10,$r1,110.7
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,50
15,$r1,1.79
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,48
20,$r1,29.2
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,30
24,$v1,600
25,$v4,466
26,$r1,0.48
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,44
31,$v4,224.3
32,$r1,100
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,52
36,$v1,700
37,$v4,517.3
38,$r1,200
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,56.6
42,$v2,1.07
43,$r1,5.29
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
