,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,3.2
10,$r1,440
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,28
15,$r1,0.49
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,44
20,$r1,18.18
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,53
24,$v1,800
25,$v4,451.3
26,$r1,0.59494
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,52
31,$v4,422.1
32,$r1,1067
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,28
36,$v1,700
37,$v4,240.9
38,$r1,900
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,100.3
42,$v2,0.5
43,$r1,80
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
