,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,7.9
10,$r1,108
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,34
15,$r1,1.45
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1200
19,$v2,48
20,$r1,25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,37
24,$v1,700
25,$v4,233.9
26,$r1,0.5
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,44
31,$v4,514.8
32,$r1,500
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,700
37,$v4,356.8
38,$r1,0.3
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,146.9
42,$v2,1.22
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,1
46,wird größer,0
47,verringert sich,0
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
