,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,3.9
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,900
13,$v2,38
14,$r1,1.604
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1000
18,$v2,46
19,$r1,21.739
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,35
23,$v1,700
24,$v4,471.7
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,900
28,$v3,36
29,$v4,299.5
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,48
33,$v1,1000
34,$v4,197.9
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,138.9
38,$v2,1.36
39,$r1,89.78
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
