,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,6.1
10,$r1,272.3214
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,24
15,$r1,0.8228
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,56
20,$r1,8.928
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,40
24,$v1,1200
25,$v4,376.3
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,54
31,$v4,461.2
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,58
35,$v1,1900
36,$v4,396.8
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,143.4
40,$v2,0.73
41,$r1,80.356
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
