,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,5.3
10,$r1,210.3175
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,44
15,$r1,1.4892
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,60
20,$r1,15
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,38
24,$v1,700
25,$v4,297.2
26,$r1,0.00126
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,54
31,$v4,449.2
32,$r1,186.393
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,1700
37,$v4,389.1
38,$r1,0.6685
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,88.3
42,$v2,1.64
43,$r1,95
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
