,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,5.2
10,$r1,168.83
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,42
15,$r1,1.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,60
20,$r1,48000
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,400
25,$v4,315.7
26,$r1,372.94
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,50
31,$v4,436.5
32,$r1,1026.48
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1900
37,$v4,203.6
38,$r1,1.52
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,77.5
42,$v2,0.73
43,$r1,90.4
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
