,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,5.8
10,$r1,4
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,32
15,$r1,6.25
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,32
20,$r1,28.8
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,900
25,$v4,231.2
26,$r1,104.04
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,44
31,$v4,377.3
32,$r1,1566.7976
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,1900
37,$v4,272.2
38,$r1,0.058
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,72.1
42,$v2,1.35
43,$r1,5.34
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,1
53,bleibt gleich,0
54,,
