,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,6.7
10,$r1,74.7768
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,46
15,$r1,1.6277
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1200
19,$v2,54
20,$r1,22.2222
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,41
24,$v1,700
25,$v4,315.7
26,$r1,0.05
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,2000
30,$v3,50
31,$v4,447.4
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,38
35,$v1,1300
36,$v4,563
37,$r1,2.564
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,97.8
41,$v2,0.91
42,$r1,19.7473
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
