,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,3.9
10,$r1,198
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,28
15,$r1,0.56
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,54
20,$r1,33.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,36
24,$v1,700
25,$v4,169.9
26,$r1,0.591
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,50
31,$v4,283.7
32,$r1,977.9
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,36
36,$v1,1200
37,$v4,502.2
38,$r1,1.29
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,73.4
42,$v2,1.12
43,$r1,93
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
