,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,7.6
10,$r1,271.42857
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1800
14,$v2,36
15,$r1,0.72
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1200
19,$v2,40
20,$r1,30
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,50
24,$v1,300
25,$v4,252.7
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,24
31,$v4,447.5
32,$r1,956.4246
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1200
37,$v4,444.8
38,$r1,0.725
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,85.6
42,$v2,1.4
43,$r1,5.761
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
