,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,1
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,5
10,$r1,148.81
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,48
15,$r1,3.29
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,44
20,$r1,43.18
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,600
25,$v4,466.3
26,$r1,0.054
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,34
31,$v4,483.3
32,$r1,1233.2
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,1400
37,$v4,375.1
38,$r1,3.54
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,72
42,$v2,1.34
43,$r1,96
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
