,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,8
10,$r1,357.1429
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,42
15,$r1,1.26
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,26
20,$r1,38.4615
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,47
24,$v1,400
25,$v4,424.4
26,$r1,400
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1500
30,$v3,30
31,$v4,151.5
32,$r1,0.7575
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1700
37,$v4,363.6
38,$r1,0.9932
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,101.1
42,$v2,0.56
43,$r1,81.9464
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
