,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,5.9
10,$r1,165.2
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,48
15,$r1,1.77
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,36
20,$r1,13.89
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,700
25,$v4,327.8
26,$r1,123.82
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,24
31,$v4,381.9
32,$r1,754.12
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,24
36,$v1,2000
37,$v4,260.9
38,$r1,
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,82.9
42,$v2,1.81
43,$r1,4.58
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,1
53,bleibt gleich,0
54,,
