,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,5.6
10,$r1,105.26
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,58
15,$r1,1.98
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,58
20,$r1,13.79
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,47
24,$v1,1100
25,$v4,306.4
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1200
29,$v3,30
30,$v4,254.3
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,48
34,$v1,1400
35,$v4,193.4
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,111.6
39,$v2,0.98
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
