,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,4.9
10,$r1,220
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,34
15,$r1,0.68
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,36
20,$r1,25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,1100
25,$v4,460.2
26,$r1,0.64
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,54
31,$v4,116.5
32,$r1,600
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1300
37,$v4,452.5
38,$r1,0.361
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,57.2
42,$v2,0.6
43,$r1,90.5
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
