,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,6.9
10,$r1,1833.55
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,24
15,$r1,0.72
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,52
20,$r1,21.15
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,54
24,$v1,500
25,$v4,419.9
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,56
31,$v4,416
32,$r1,7.54
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,60
36,$v1,600
37,$v4,217.2
38,$r1,1.657e-05
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,136.4
42,$v2,1.77
43,$r1,92.3
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
