,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,7.4
10,$r1,30
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,36
15,$r1,1.08
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,24
20,$r1,62.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,33
24,$v1,500
25,$v4,176.4
26,$r1,12
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,56
31,$v4,375.4
32,$r1,12
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,32
36,$v1,1300
37,$v4,265.4
38,$r1,1301.92916
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,98.3
42,$v2,0.9
43,$r1,90
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
