,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,4
10,$r1,71
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,60
15,$r1,3.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,42
20,$r1,14.28
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,50
24,$v1,500
25,$v4,319.1
26,$r1,0.436
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1200
30,$v3,32
31,$v4,163.3
32,$r1,868.09
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,36
36,$v1,1300
37,$v4,168.9
38,$r1,7.673
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,142.6
42,$v2,0.83
43,$r1,82
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
