,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,7.6
10,$r1,171
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,56
15,$r1,0.22
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,54
20,$r1,18.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,29
24,$v1,300
25,$v4,367.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1200
29,$v3,52
30,$v4,582.6
31,$r1,2320
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,60
35,$v1,2000
36,$v4,149
37,$r1,1.07
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,122.7
41,$v2,1.74
42,$r1,92.9
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
