,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,4.5
10,$r1,84.6
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,56
15,$r1,3.92
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,40
20,$r1,40
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,36
24,$v1,400
25,$v4,299.1
26,$r1,0.000254
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,40
31,$v4,153.1
32,$r1,1041.53
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1500
37,$v4,265.1
38,$r1,6.654
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,79
42,$v2,1.82
43,$r1,95.8
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
