,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,5.7
10,$r1,0.204
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,50
15,$r1,3.57
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,42
20,$r1,26.19
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,700
25,$v4,169.4
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1200
29,$v3,56
30,$v4,263.8
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,50
34,$v1,1600
35,$v4,378.8
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,51.4
39,$v2,1.45
40,$r1,96.58
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
