,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,5.3
10,$r1,200
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,38
15,$r1,0.76
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,46
20,$r1,19.565
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,44
24,$v1,900
25,$v4,321.7
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,700
29,$v3,26
30,$v4,139.3
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,44
34,$v1,600
35,$v4,285.3
36,$r1,0.51
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,71
40,$v2,0.84
41,$r1,92.21
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
