,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,7.9
10,$r1,256.494
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,44
15,$r1,1.01895
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,56
20,$r1,23.2143
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,500
25,$v4,478.9
26,,
27,Formelfrage,Wasserkocher f)
28,,
29,Formelfrage,Wasserkocher g)
30,$v3,42
31,$v1,1500
32,$v4,133
33,$r1,0.339245
34,,
35,Formelfrage,Wasserkocher h)
36,$v1,111.6
37,$v2,1.4
38,$r1,92.617
39,,
40,Single Choice,Wasserkocher i)
41,bleibt gleich,0
42,wird größer,0
43,verringert sich,1
44,,
45,Single Choice,Wasserkocher j)
46,verringert sich,1
47,wird größer,0
48,bleibt gleich,0
49,,
