,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,6.2
10,$r1,442.85
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,48
15,$r1,1.35
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,26
20,$r1,34.61
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,43
24,$v1,300
25,$v4,462.8
26,$r1,0.254
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,32
31,$v4,514.1
32,$r1,499.02
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,1500
37,$v4,560.9
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,82.4
41,$v2,0.68
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
