,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,8
10,$r1,54.11
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,500
14,$v2,26
15,$r1,1.352
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,40
20,$r1,47.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,39
24,$v1,700
25,$v4,276.1
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1300
29,$v3,30
30,$v4,390.3
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,52
34,$v1,500
35,$v4,239
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,66.4
39,$v2,1.85
40,$r1,96.4
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
