,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.8
9,$v4,6.5
10,$r1,64.48
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,36
15,$r1,0.81
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,58
20,$r1,15.52
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,49
24,$v1,500
25,$v4,497.5
26,$r1,4.8
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,500
30,$v3,48
31,$v4,477.2
32,$r1,51.79
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1000
37,$v4,153
38,$r1,0.07
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,61.2
42,$v2,0.58
43,$r1,89.45
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
