,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,6.3
10,$r1,150
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,42
15,$r1,0.9284
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,60
20,$r1,28.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,28
24,$v1,500
25,$v4,336.3
26,$r1,1337
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,800
30,$v3,58
31,$v4,316.2
32,$r1,800
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,1000
37,$v4,321.1
38,$r1,0.4447
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,85.7
42,$v2,1.3
43,$r1,93.4077
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
