,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,4.3
10,$r1,118.13
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,56
15,$r1,2.613
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,2000
19,$v2,60
20,$r1,33.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,800
25,$v4,365.8
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,2000
29,$v3,26
30,$v4,133.8
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,48
34,$v1,1400
35,$v4,222.5
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,116.4
39,$v2,0.6
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
