,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.8
9,$v4,7.8
10,$r1,154.76
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,44
15,$r1,1.38285
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1200
19,$v2,36
20,$r1,33.3333
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,43
24,$v1,900
25,$v4,163.7
26,$r1,1.0706
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1200
30,$v3,44
31,$v4,419.8
32,$r1,789.259
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,1400
37,$v4,351.3
38,$r1,0.166
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,145.7
42,$v2,1.23
43,$r1,11.8455
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
