,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,1
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,4.1
10,$r1,2.176
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,60
15,$r1,2.4
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,60
20,$r1,18.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,33
24,$v1,800
25,$v4,443.3
26,$r1,0.6
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,42
31,$v4,307.5
32,$r1,542.43
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,1700
37,$v4,396.1
38,,
39,Formelfrage,Wasserkocher h)
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,0
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,0
48,wird größer,0
49,bleibt gleich,0
50,,
