,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,6.8
10,$r1,220.78
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,24
15,$r1,0.96
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,38
20,$r1,42.11
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,39
24,$v1,700
25,$v4,450
26,$r1,0.315
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,28
31,$v4,462.2
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,42
35,$v1,800
36,$v4,463.1
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,64.8
40,$v2,1.77
41,$r1,96.34
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,0
50,wird größer,1
51,bleibt gleich,0
52,,
