,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,5.9
10,$r1,105.358
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,60
15,$r1,2.4
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,60
20,$r1,13.333
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,55
24,$v1,700
25,$v4,238.4
26,$r1,12.688
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,30
31,$v4,129.1
32,$r1,1000
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1300
37,$v4,212.3
38,$r1,33
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,52.7
42,$v2,1.71
43,$r1,6.099
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
