,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,3.4
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1900
13,$v2,34
14,$r1,0.6084
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1300
18,$v2,38
19,$r1,34.21
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,35
23,$v1,500
24,$v4,130.8
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,600
28,$v3,46
29,$v4,493.2
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,34
33,$v1,2000
34,$v4,435.6
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,71.9
38,$v2,1.27
39,$r1,94.33
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
