,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,5.4
10,$r1,275.5
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,44
15,$r1,3.22
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,52
20,$r1,30.76
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,48
24,$v1,400
25,$v4,449.9
26,$r1,2.16
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,46
31,$v4,191.9
32,$r1,789
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,600
37,$v4,339.8
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,77.5
41,$v2,1.26
42,$r1,12.3
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,0
51,wird größer,1
52,bleibt gleich,0
53,,
