,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,5.6
10,$r1,166.66
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,60
15,$r1,0.22
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,32
20,$r1,31.25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,500
25,$v4,419.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,700
29,$v3,24
30,$v4,397
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,36
34,$v1,700
35,$v4,578.9
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,136.2
39,$v2,1.53
40,$r1,91.1
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
