,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.8
9,$v4,4.5
10,$r1,89.2
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,34
15,$r1,1.05
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,52
20,$r1,13.46
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,400
25,$v4,238.2
26,$r1,0.346
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,30
31,$v4,342.7
32,$r1,
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,60
36,$v1,1100
37,$v4,201.4
38,$r1,
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,124.5
42,$v2,1.72
43,$r1,92
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
