,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,4.6
10,$r1,328.57
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,40
15,$r1,2.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,48
20,$r1,31.25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,300
25,$v4,475.2
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1200
29,$v3,50
30,$v4,448.7
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,58
34,$v1,1700
35,$v4,281.3
36,$r1,0.48
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,135.3
40,$v2,0.63
41,$r1,82.3
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
