,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,5.2
10,$r1,160
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,40
15,$r1,0.8
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,32
20,$r1,50
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,44
24,$v1,600
25,$v4,362.8
26,$r1,0.0675
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,40
31,$v4,196.9
32,$r1,4069.18
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,1800
37,$v4,101.1
38,$r1,7.4
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,126.1
42,$v2,1.57
43,$r1,92.57
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
