,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,7.6
10,$r1,180
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,30
15,$r1,0.64
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,42
20,$r1,33.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,40
24,$v1,800
25,$v4,302.8
26,$r1,0.6788
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,26
31,$v4,217
32,$r1,1159.78
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,24
36,$v1,1000
37,$v4,316.4
38,$r1,1.095
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,137.2
42,$v2,1.48
43,$r1,91.52
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
