,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,3.6
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1700
13,$v2,26
14,$r1,0.4
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1200
18,$v2,26
19,$r1,46.2
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,50
23,$v1,700
24,$v4,292.2
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,1900
28,$v3,34
29,$v4,349.1
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,40
33,$v1,1700
34,$v4,365.7
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,134.2
38,$v2,0.92
39,$r1,85.4
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
