,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,4.8
10,$r1,342
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,36
15,$r1,0.86
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,26
20,$r1,19.23
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,29
24,$v1,500
25,$v4,384.4
26,$r1,0.358
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,56
31,$v4,213.7
32,$r1,1278
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,700
37,$v4,509.4
38,$r1,0.148
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,149.2
42,$v2,1.93
43,$r1,92
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
