,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,3.2
10,$r1,114.2857
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,48
15,$r1,1.44
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,38
20,$r1,44.7368
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,500
25,$v4,329.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1900
29,$v3,38
30,$v4,568.4
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,52
34,$v1,1400
35,$v4,245.4
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,110.9
39,$v2,1.53
40,$r1,92.7516
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
