,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,7.7
10,$r1,1050
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,54
15,$r1,1.944
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,54
20,$r1,33.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,400
25,$v4,372.4
26,$r1,0.399
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1500
30,$v3,30
31,$v4,432.9
32,$r1,3579
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,50
36,$v1,600
37,$v4,453.9
38,$r1,5.5
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,96.4
42,$v2,1.88
43,$r1,95.1
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
